iter	MultiClass
192	0.1152409036
193	0.1146503054
194	0.1141541711
195	0.1133113086
196	0.1126966693
197	0.1122809325
198	0.1114401685
199	0.1111216185
200	0.1104501017
201	0.1100952485
202	0.1096030881
203	0.1090318133
204	0.1085972078
205	0.1083331804
206	0.1079903218
207	0.1077540942
208	0.1074803461
209	0.1072237799
210	0.1068738043
211	0.1066408793
212	0.1062674281
213	0.1060267979
214	0.1055558661
215	0.1049625381
216	0.10465386
217	0.1042942549
218	0.10401033
219	0.1035610618
220	0.1029960068
221	0.1023056498
222	0.1018416852
223	0.1016435793
224	0.1009279272
225	0.1002959515
226	0.1000173569
227	0.0995377243
228	0.09909196346
229	0.09882695271
230	0.09829559244
231	0.09803311266
232	0.09787699646
233	0.09749666099
234	0.09706314898
235	0.09664828673
236	0.09637948066
237	0.09586350813
238	0.09556388693
239	0.09498202128
240	0.09470110726
241	0.09421039735
242	0.09399906829
243	0.09359242637
244	0.093343069
245	0.0930484223
246	0.09270627134
247	0.0924957649
248	0.09227133395
249	0.09201045346
250	0.09160632372
251	0.09127734496
252	0.09102557905
253	0.09066122278
254	0.09033490364
255	0.09009527539
256	0.08958283957
257	0.08944450957
258	0.08903041818
259	0.08875238131
260	0.08844532981
261	0.08791054592
262	0.08776202946
263	0.08738910281
264	0.0870901233
265	0.08684974145
266	0.08658341403
267	0.08637602546
268	0.08628819711
269	0.0859686741
270	0.08544694823
271	0.08514757497
272	0.08478265728
273	0.08444448931
274	0.08387825779
275	0.08366097532
276	0.08318436585
277	0.08303817832
278	0.08279360271
279	0.08264877905
280	0.08238661454
281	0.08201576384
282	0.08185607476
283	0.0815355489
284	0.0812936909
285	0.08096390389
286	0.08082319473
287	0.08064236766
288	0.08022292806
289	0.07986818939
290	0.07961927508
291	0.07946708172
292	0.07927617289
293	0.07896733566
294	0.07873566513
295	0.0784495337
296	0.0781320245
297	0.07795555943
298	0.07761481255
299	0.07744664434
300	0.07720779134
301	0.07709855656
302	0.0770002702
303	0.07688380977
304	0.07663940028
305	0.07636633045
306	0.07622417781
307	0.07579955216
308	0.07546907201
309	0.07536235751
310	0.07521396925
311	0.07486088214
312	0.07462299264
313	0.07442742864
314	0.07414395916
315	0.07391573544
316	0.07365589064
317	0.07335592172
318	0.07313076283
319	0.07292249217
320	0.07269392924
321	0.0724000019
322	0.07210899253
323	0.07188619757
324	0.07158410393
325	0.07137224014
326	0.07119509177
327	0.07109456084
328	0.07085208872
329	0.07048623769
330	0.07029449482
331	0.06997386644
332	0.06980043799
333	0.06950897174
334	0.06914156581
335	0.06888127204
336	0.06872351885
337	0.06845514948
338	0.06829111916
339	0.06785541846
340	0.0677705316
341	0.06761870956
342	0.06742073875
343	0.06720532352
344	0.06702952594
345	0.0668462967
346	0.06670379139
347	0.06655182462
348	0.06642610115
349	0.06628164702
350	0.06609145736
351	0.06578076811
352	0.06562909618
353	0.06528660403
354	0.06516393148
355	0.06489751394
356	0.0646872763
357	0.0645245655
358	0.0643360045
359	0.06414434874
360	0.06401922297
361	0.06389645454
362	0.06378472367
363	0.06364746654
364	0.0634437209
365	0.06323821629
366	0.06302060459
367	0.06286243958
368	0.06259447383
369	0.06251158104
370	0.06232930793
371	0.06212602892
372	0.06191818458
373	0.06176991517
374	0.06148595134
375	0.06128267228
376	0.06094127526
377	0.06075129782
378	0.06063460362
379	0.06038539917
380	0.06017750859
381	0.0601027314
382	0.05993107643
383	0.05975512314
384	0.0596229559
385	0.0595565087
386	0.05946844109
387	0.05931695442
388	0.0591871281
389	0.05909148997
390	0.05887571604
391	0.05870723556
392	0.05857158311
393	0.05826093192
394	0.05812560395
395	0.05797671554
396	0.05780234881
397	0.05766833192
398	0.05725331543
399	0.05714574078
400	0.05700980996
401	0.05682063654
402	0.05673624198
403	0.05655526991
404	0.05643519992
405	0.05626095437
406	0.05616441386
407	0.05599769225
408	0.05581275408
409	0.05568094334
410	0.05551073605
411	0.05543487075
412	0.05534723822
413	0.05510272581
414	0.05500634862
415	0.0548420404
416	0.05470290439
417	0.05450638251
418	0.05430132396
419	0.05423336235
420	0.05407323048
421	0.05397882856
422	0.05383785829
423	0.05374185828
424	0.0536539105
425	0.05344280462
426	0.05338544885
427	0.05329199566
428	0.05321994039
429	0.0531301457
430	0.05294138644
431	0.05280200834
432	0.05268020608
433	0.05255122908
434	0.05234076044
435	0.05219438806
436	0.05206330286
437	0.05187195845
438	0.05179717395
439	0.05155962217
440	0.05141857992
441	0.05127021802
442	0.05105919872
443	0.05096280397
444	0.05085367073
445	0.05066618215
446	0.05056558529
447	0.05038047904
448	0.0503143322
449	0.05017413364
450	0.05007483104
451	0.04992538894
452	0.0497056195
453	0.0495724757
454	0.04938797979
455	0.04930149818
456	0.04921086977
457	0.04905704883
458	0.04898562333
459	0.04880709827
460	0.04864958883
461	0.04859930394
462	0.04844295861
463	0.04836420858
464	0.04826162958
465	0.0482401682
466	0.048118491
467	0.0480447474
468	0.04793944715
469	0.04786117225
470	0.04769147694
471	0.04762864822
472	0.04743619035
473	0.04737185824
474	0.0473137312
475	0.04725477956
476	0.04716711023
477	0.04702795248
478	0.04693246076
479	0.04682470243
480	0.0466883196
481	0.04652834504
482	0.04644101173
483	0.04632506546
484	0.04620883538
485	0.04606394678
486	0.04594250569
487	0.04581172413
488	0.04575188823
489	0.04567271619
490	0.04560838703
491	0.04552411887
492	0.04541177471
493	0.04529718152
494	0.04517774923
495	0.04510745571
496	0.04503005413
497	0.04492317192
498	0.04476917717
499	0.04463732896
500	0.04449860437
501	0.04440508482
502	0.04427444198
503	0.04419452539
504	0.04410592209
505	0.04403959607
506	0.04395387019
507	0.04385636258
508	0.04370474241
509	0.04356732189
510	0.04341929397
511	0.0433538164
512	0.04318789214
513	0.04305039885
514	0.04292811022
515	0.04271269406
516	0.04267057778
517	0.04251634101
518	0.04242620861
519	0.04225283869
520	0.042190198
521	0.04210220666
522	0.04201859515
523	0.0419270201
524	0.04180022674
525	0.04172761488
526	0.04166120061
527	0.04157694222
528	0.04151682557
529	0.04142793268
530	0.04133373873
531	0.04124859686
532	0.04115660529
533	0.04101682229
534	0.04093798246
535	0.04083957068
536	0.04074995985
537	0.0406352534
538	0.04049516554
539	0.04041238298
540	0.04026616251
541	0.0401972852
542	0.0401119908
543	0.04001772811
544	0.03987080132
545	0.03969094403
546	0.03965376727
547	0.03960574199
548	0.039536458
549	0.0394388974
550	0.03936091987
551	0.03931199484
552	0.03919383028
553	0.03911367326
554	0.0390077293
555	0.03892224555
556	0.03884631911
557	0.03873991854
558	0.03865337373
559	0.03857089781
560	0.03847428133
561	0.03837537767
562	0.03831439291
563	0.03824368233
564	0.03817947662
565	0.0381221382
566	0.03803164477
567	0.03799401816
568	0.03792675963
569	0.03788673646
570	0.03780268693
571	0.03769862284
572	0.0376517627
573	0.03758922448
574	0.03746468937
575	0.03739506542
576	0.0372768174
577	0.0372175246
578	0.03716820763
579	0.03708675997
580	0.03702383044
581	0.0369644048
582	0.03684851972
583	0.0367627203
584	0.03670743097
585	0.03664323889
586	0.03655786095
587	0.03647043183
588	0.03641161372
589	0.03634683239
590	0.03625093214
591	0.03617856402
592	0.03611977086
593	0.03598485345
594	0.03593240053
595	0.0358253551
596	0.03577327973
597	0.03571675477
598	0.03563746658
599	0.03561365032
600	0.03550276143
601	0.03545467748
602	0.03538626422
603	0.03536537976
604	0.0353212497
605	0.03527501339
606	0.03521544233
607	0.03515721238
608	0.03507982643
609	0.03500544565
610	0.03495039415
611	0.03489180664
612	0.03485490961
613	0.03480299194
614	0.0347436451
615	0.03470110557
616	0.03464767297
617	0.0345817196
618	0.03449823636
619	0.03439067122
620	0.03432799179
621	0.03425193124
622	0.03419363288
623	0.03409531152
624	0.03402506005
625	0.03396309101
626	0.03389360177
627	0.03386086105
628	0.03380915086
629	0.03373534455
630	0.03367411698
631	0.03359647555
632	0.03354448938
633	0.03347952526
634	0.03334069668
635	0.03326795422
636	0.0332055506
637	0.03313998875
638	0.03307420655
639	0.03299589792
640	0.03283764616
641	0.03278291254
642	0.03273267028
643	0.03263062517
644	0.03257670514
645	0.03251079429
646	0.03245604282
647	0.03242943982
648	0.03235125988
649	0.03227125769
650	0.03218216815
651	0.03211509697
652	0.03206949636
653	0.03201946039
654	0.03196990968
655	0.03182752747
656	0.03177986626
657	0.03170181576
658	0.03166667253
659	0.03160141773
660	0.03154927771
661	0.03147032968
662	0.03142519435
663	0.03136101973
664	0.03132697705
665	0.0312176669
666	0.03111639287
667	0.03103385311
668	0.03094349302
669	0.03089359276
670	0.03082700116
671	0.03077396897
672	0.03072747027
673	0.03068617536
674	0.03065900332
675	0.03059374488
676	0.03054720845
677	0.03049965903
678	0.03046193318
679	0.03041950327
680	0.03037336863
681	0.03030856003
682	0.03027317051
683	0.03022689395
684	0.03016758564
685	0.03010382717
686	0.03005843231
687	0.0300225266
688	0.0299845489
689	0.02994329308
690	0.02988317128
691	0.02984932622
692	0.02979402614
693	0.02975477135
694	0.02968454954
695	0.02961456376
696	0.02955640453
697	0.02948927495
698	0.02940612427
699	0.02935773909
700	0.02929573504
701	0.02923648982
702	0.02919227399
703	0.02916508416
704	0.02911683911
705	0.02901868476
706	0.02898675945
707	0.0289360686
708	0.02888189999
709	0.0288072123
710	0.02876754026
711	0.02871188939
712	0.02866394124
713	0.02859786879
714	0.0285484272
715	0.02849147159
716	0.02844722182
717	0.02841280296
718	0.0283490757
719	0.02830891571
720	0.02826462193
721	0.02822994114
722	0.02816042484
723	0.02812337857
724	0.02807390996
725	0.02801968672
726	0.02793118652
727	0.02790279095
728	0.02785478225
729	0.02780548268
730	0.02775948139
731	0.02770783684
732	0.02764700948
733	0.0275981996
734	0.02751904628
735	0.0274685285
736	0.02733079977
737	0.02730398517
738	0.02725380061
739	0.02717879782
740	0.02713033241
741	0.02710154882
742	0.02703341047
743	0.02700542725
744	0.02695779922
745	0.02691178891
746	0.02687543657
747	0.02682386163
748	0.02677807807
749	0.02673065774
750	0.02667407012
751	0.02661431349
752	0.02653623432
753	0.02647359142
754	0.02642022482
755	0.02635373527
756	0.0263264712
757	0.02624965205
758	0.02620457471
759	0.02614765501
760	0.0261261929
761	0.026080518
762	0.02606290465
763	0.02602293264
764	0.02599071108
765	0.02593304738
766	0.02590666149
767	0.02587267579
768	0.02581383741
769	0.02575915889
770	0.02574249038
771	0.02569919973
772	0.02566184991
773	0.02562576446
774	0.02557296505
775	0.02552916131
776	0.02551955301
777	0.02547646049
778	0.02542238832
779	0.02538196801
780	0.02535810296
781	0.02531491961
782	0.02526931953
783	0.02521803456
784	0.0251752276
785	0.02512527727
786	0.02510163233
787	0.02506551755
788	0.02503005444
789	0.0249977584
790	0.02495807799
791	0.02490336365
792	0.02487484349
793	0.02481851506
794	0.02477692015
795	0.02475526403
796	0.02471543156
797	0.02466124198
798	0.02461467802
799	0.02454160556
800	0.02450526925
801	0.02444475519
802	0.02439450887
803	0.02432481635
804	0.02428201367
805	0.02420477606
806	0.02416815477
807	0.02414812019
808	0.02411534013
809	0.02404716493
810	0.02399894849
811	0.02396653294
812	0.02391939455
813	0.02388566138
814	0.02385934453
815	0.0238081174
816	0.02377153065
817	0.02372326739
818	0.02364075451
819	0.02358435806
820	0.02354723819
821	0.02348547425
822	0.02345008444
823	0.02341161176
824	0.02339973636
825	0.02338927103
826	0.02334488243
827	0.02331599286
828	0.02328334014
829	0.02323043737
830	0.02320509095
831	0.0231734825
832	0.02315057932
833	0.02310971827
834	0.02307625953
835	0.02302495561
836	0.02298290975
837	0.02293761329
838	0.02292823424
839	0.022891983
840	0.02282854153
841	0.02277207857
842	0.02275087098
843	0.02272369005
844	0.02270317345
845	0.02261276659
846	0.02259227301
847	0.02254265947
848	0.02249368394
849	0.02245433885
850	0.02242597097
851	0.02238968005
852	0.02235008679
853	0.02231769754
854	0.02228778091
855	0.02226431512
856	0.02223411812
857	0.02219080266
858	0.02217481274
859	0.02212767353
860	0.02210503148
861	0.02203346027
862	0.02201457045
863	0.02199306504
864	0.02194174498
865	0.0219115422
866	0.02186069719
867	0.02183099633
868	0.02181245378
869	0.0217790581
870	0.02175825284
871	0.02172457932
872	0.02170632103
873	0.02167852456
874	0.02164437046
875	0.02156141447
876	0.0215368105
877	0.02148975065
878	0.02144304557
879	0.02142124535
880	0.02140865268
881	0.02138458837
882	0.02136625317
883	0.02133397244
884	0.02127941461
885	0.021266597
886	0.02124517042
887	0.02121475661
888	0.02119706126
889	0.02113103122
890	0.02111624574
891	0.02108004778
892	0.02104705922
893	0.02100341729
894	0.02097583709
895	0.02094291224
896	0.02092028665
897	0.02085885182
898	0.02082329266
899	0.02078995703
900	0.02075630916
901	0.02073731975
902	0.02071934242
903	0.02069194634
904	0.02065587411
905	0.02061054023
906	0.02058023802
907	0.02053514026
908	0.02050018488
909	0.02046992207
910	0.02043800304
911	0.02040651421
912	0.02038755386
913	0.02035664363
914	0.02032432709
915	0.02031084885
916	0.02028693352
917	0.02025039028
918	0.02022504015
919	0.02019986698
920	0.02016323091
921	0.02014158836
922	0.02011804242
923	0.02008206158
924	0.02005074892
925	0.02002960865
926	0.02000517658
927	0.01996379391
928	0.01993447457
929	0.01991315048
930	0.0198911521
931	0.01986416918
932	0.01984058048
933	0.01982044329
934	0.01979936021
935	0.01978054534
936	0.01974653283
937	0.01971126878
938	0.01967970057
939	0.01966010031
940	0.01963029821
941	0.01961637203
942	0.0195928052
943	0.01955476654
944	0.01952757658
945	0.01951464412
946	0.01947521327
947	0.01944704859
948	0.01941701625
949	0.019388213
950	0.01936474503
951	0.01932558595
952	0.01930226893
953	0.01926059189
954	0.01924390495
955	0.01923187427
956	0.01921314811
957	0.01919045786
958	0.01916410214
959	0.01915252207
960	0.01912419131
961	0.01909403803
962	0.01905700766
963	0.01904491161
964	0.01900884431
965	0.01897881141
966	0.01895024505
967	0.01892394854
968	0.018901548
969	0.01888099301
970	0.01883987724
971	0.01881155838
972	0.01878774891
973	0.01876237258
974	0.0187404216
975	0.01872361507
976	0.01869854741
977	0.01865716262
978	0.01864051214
979	0.01862181983
980	0.01859336169
981	0.01857561322
982	0.01854647985
983	0.01851575164
984	0.01849087155
985	0.01846040941
986	0.01843137456
987	0.01841457401
988	0.01839696178
989	0.01836853494
990	0.01834957207
991	0.01832283431
992	0.01830496296
993	0.01827863609
994	0.01823750828
995	0.01820537395
996	0.01818159009
997	0.01814359407
998	0.01812029786
999	0.01808629336
